rht-business |192.168.0.112 |2023-07-12 10:27:57.745 |  WARN | main | com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder : 87 | Ignore the empty nacos configuration and get it based on dataId[rht-business.yaml] & group[DEFAULT_GROUP]
rht-business |192.168.0.112 |2023-07-12 10:27:57.757 |  WARN | main | com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder : 87 | Ignore the empty nacos configuration and get it based on dataId[rht-business-dev.yaml] & group[DEFAULT_GROUP]
rht-business |192.168.0.112 |2023-07-12 10:27:57.757 |  INFO | main | org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration : 105 | Located property source: [BootstrapPropertySource {name='bootstrapProperties-rht-business-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-rht-business.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-rht-business,DEFAULT_GROUP'}]
rht-business |192.168.0.112 |2023-07-12 10:27:57.787 |  INFO | main | org.springframework.boot.SpringApplication : 655 | The following profiles are active: dev
rht-business |192.168.0.112 |2023-07-12 10:27:58.232 |  WARN | main | org.springframework.boot.actuate.endpoint.EndpointId : 155 | Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
rht-business |192.168.0.112 |2023-07-12 10:27:58.233 |  WARN | main | org.springframework.boot.actuate.endpoint.EndpointId : 155 | Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
rht-business |192.168.0.112 |2023-07-12 10:27:58.361 |  INFO | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate : 249 | Multiple Spring Data modules found, entering strict repository configuration mode!
rht-business |192.168.0.112 |2023-07-12 10:27:58.362 |  INFO | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate : 127 | Bootstrapping Spring Data Redis repositories in DEFAULT mode.
rht-business |192.168.0.112 |2023-07-12 10:27:58.372 |  INFO | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate : 187 | Finished Spring Data repository scanning in 4ms. Found 0 Redis repository interfaces.
rht-business |192.168.0.112 |2023-07-12 10:27:58.417 |  WARN | main | org.springframework.boot.actuate.endpoint.EndpointId : 155 | Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
rht-business |192.168.0.112 |2023-07-12 10:27:58.512 |  INFO | main | org.springframework.cloud.context.scope.GenericScope : 295 | BeanFactory id=367b3036-b023-34d3-bd8f-fce3973efabc
rht-business |192.168.0.112 |2023-07-12 10:27:58.559 |  INFO | main | org.springframework.integration.config.DefaultConfiguringBeanFactoryPostProcessor : 213 | No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
rht-business |192.168.0.112 |2023-07-12 10:27:58.563 |  INFO | main | org.springframework.integration.config.DefaultConfiguringBeanFactoryPostProcessor : 300 | No bean named 'taskScheduler' has been explicitly defined. Therefore, a default ThreadPoolTaskScheduler will be created.
